RF,Total_Tonnage,Ore_Tonnage,Pit_Value
0.3,0.0,0.0,0.0
0.35,0.0,0.0,0.0
0.4,0.0,0.0,0.0
0.45,160212819.21,87401020.326,23843788.05355403
0.5,225223531.31200004,127165324.69000001,95753846.80275318
0.55,296986968.059,165501850.492,186678360.81841555
0.6,336547176.755,189447004.95100003,294144555.71283454
0.65,383290401.30700004,215316375.64000002,412312835.82658577
0.7,411753776.326,232517418.302,539611808.210692
0.75,444250403.351,250907538.93400002,674191018.0126503
0.8,453254611.019,261225031.16400003,814625947.3320577
0.85,476357906.051,275863072.556,959096429.2333883
0.9,499830771.711,288171636.52000004,1107721706.666092
0.95,522026657.22,301010544.125,1260410346.4290776
1.0,527146593.826,308863769.061,1415655436.1365383
1.05,550837686.4070001,321255648.114,1573854027.959886
1.1,555772002.006,327585655.407,1734287893.3781323
1.15,576889349.341,338208036.084,1896592809.6078665
1.2,579084205.498,342257783.91499996,2060876257.4456568
